utc,x_TLE,y_TLE,z_TLE
2020-03-01 14:04:59.987,-19935.891699613017,-17029.892791696355,-3577.962758042178
2020-03-01 14:09:59.987,-19368.615190216467,-17491.368250092026,-4486.172324148502
2020-03-01 14:14:59.987,-18763.9220254339,-17919.054093619474,-5385.71449949444
2020-03-01 14:19:59.987,-18123.055310348514,-18312.195714019286,-6274.872743238879
2020-03-01 14:24:59.987,-17447.323158369472,-18670.108629637518,-7151.957770518102
2020-03-01 14:29:59.987,-16738.09557943434,-18992.17925148775,-8015.310650936971
2020-03-01 14:34:59.987,-15996.801291698699,-19277.865490832097,-8863.305793874808
2020-03-01 14:39:59.987,-15224.924466759361,-19526.6972117811,-9694.353816980558
2020-03-01 14:44:59.987,-14424.001418153246,-19738.276532773194,-10506.904294839851
2020-03-01 14:49:59.987,-13595.617242544624,-19912.277981109582,-11299.448385375019
2020-03-01 14:54:59.986,-12741.402422642323,-20048.448504990185,-12070.52133209877
2020-03-01 14:59:59.986,-11863.029400497537,-20146.607347717767,-12818.70484086533
2020-03-01 15:04:59.986,-10962.209129419705,-20206.645788918355,-13542.629330258995
2020-03-01 15:09:59.986,-10040.687612312118,-20228.526757761996,-14240.97605522468
2020-03-01 15:14:59.986,-9100.242433791991,-20212.284323264514,-14912.47910396846
2020-03-01 15:19:59.986,-8142.679293002226,-20158.023066809397,-15555.92726855331
2020-03-01 15:24:59.986,-7169.8285435719445,-20065.91734205043,-16170.165789969044
2020-03-01 15:29:59.986,-6183.541746725922,-19936.21042734487,-16754.0979787779
2020-03-01 15:34:59.986,-5185.688243091586,-19769.213575823804,-17306.686712722567
2020-03-01 15:39:59.986,-4178.151748311988,-19565.304968136214,-17826.955812930846
2020-03-01 15:44:59.986,-3162.826977134454,-19324.928572805868,-18313.991300569327
2020-03-01 15:49:59.986,-2141.61630023123,-19048.592919022198,-18766.942535974355
2020-03-01 15:54:59.986,-1116.4264375939708,-18736.8697865449,-19185.0232424426
2020-03-01 15:59:59.986,-89.1651919671219,-18390.392817246677,-19567.512416972575
2020-03-01 16:04:59.986,938.2617745926536,-18009.856052645366,-19913.755130341906
2020-03-01 16:09:59.986,1963.9541182841353,-17596.012401592605,-20223.163218956342
2020-03-01 16:14:59.986,2986.0199428368715,-17149.67204209257,-20495.215870941247
2020-03-01 16:19:59.986,4002.5788783770627,-16671.70076102126,-20729.46010895018
2020-03-01 16:24:59.986,5011.765108039904,-16163.01823531229,-20925.51117214686
2020-03-01 16:29:59.986,6011.730340740297,-15624.596257962816,-21083.05279977842
2020-03-01 16:34:59.986,7000.64672873907,-15057.456912064514,-21201.837418654457
2020-03-01 16:39:59.986,7976.709728829527,-14462.670695436062,-21281.68623707385
2020-03-01 16:44:59.986,8938.140906188888,-13841.354599475473,-21322.48924673603
2020-03-01 16:49:59.986,9883.190680010284,-13194.670143574791,-21324.205135591794
